total_distance,avg_distance,matching,mse,query_no,attack_type,n_selected
23.030258178710938,23.030258178710938,"[(0, 0)]",1.0359234809875488,10,random,110
0.512677013874054,0.512677013874054,"[(0, 0)]",0.000513354898430407,10,centroid,110
0.7275930047035217,0.7275930047035217,"[(0, 0)]",0.001033967942930758,10,score_known,110
21.758644104003906,21.758644104003906,"[(0, 0)]",0.9246847033500671,11,random,10
0.6712642312049866,0.6712642312049866,"[(0, 0)]",0.000880069681443274,11,centroid,10
0.7463940382003784,0.7463940382003784,"[(0, 0)]",0.0010880938498303294,11,score_known,10
21.87241554260254,21.87241554260254,"[(0, 0)]",0.9343799352645874,11,random,60
0.658674955368042,0.658674955368042,"[(0, 0)]",0.000847368617542088,11,centroid,60
0.8386711478233337,0.8386711478233337,"[(0, 0)]",0.0013737680856138468,11,score_known,60
22.17267417907715,22.17267417907715,"[(0, 0)]",0.9602099657058716,11,random,110
0.6498898863792419,0.6498898863792419,"[(0, 0)]",0.0008249157108366489,11,centroid,110
1.1109559535980225,1.1109559535980225,"[(0, 0)]",0.0024105918128043413,11,score_known,110
23.001161575317383,23.001161575317383,"[(0, 0)]",1.033307433128357,12,random,10
0.26420333981513977,0.26420333981513977,"[(0, 0)]",0.0001363347691949457,12,centroid,10
0.45942869782447815,0.45942869782447815,"[(0, 0)]",0.0004122553509660065,12,score_known,10
22.833383560180664,22.833383560180664,"[(0, 0)]",1.0182878971099854,12,random,60
0.3478536903858185,0.3478536903858185,"[(0, 0)]",0.0002363324019825086,12,centroid,60
0.5594562292098999,0.5594562292098999,"[(0, 0)]",0.0006113110575824976,12,score_known,60
23.4714298248291,23.4714298248291,"[(0, 0)]",1.075992226600647,12,random,110
0.37257522344589233,0.37257522344589233,"[(0, 0)]",0.0002711177512537688,12,centroid,110
0.7961269617080688,0.7961269617080688,"[(0, 0)]",0.001237926073372364,12,score_known,110
22.1827449798584,22.1827449798584,"[(0, 0)]",0.9610823392868042,13,random,10
0.5460483431816101,0.5460483431816101,"[(0, 0)]",0.0005823608953505754,13,centroid,10
0.6964365243911743,0.6964365243911743,"[(0, 0)]",0.0009473121608607471,13,score_known,10
23.684627532958984,23.684627532958984,"[(0, 0)]",1.095628023147583,13,random,60
0.5290634632110596,0.5290634632110596,"[(0, 0)]",0.0005466956063173711,13,centroid,60
0.7149802446365356,0.7149802446365356,"[(0, 0)]",0.0009984311182051897,13,score_known,60
22.327394485473633,22.327394485473633,"[(0, 0)]",0.9736573696136475,13,random,110
0.5235820412635803,0.5235820412635803,"[(0, 0)]",0.0005354261375032365,13,centroid,110
0.792559027671814,0.792559027671814,"[(0, 0)]",0.0012268550926819444,13,score_known,110
21.517070770263672,21.517070770263672,"[(0, 0)]",0.9042662382125854,14,random,10
0.42161253094673157,0.42161253094673157,"[(0, 0)]",0.000347181863617152,14,centroid,10
0.46891847252845764,0.46891847252845764,"[(0, 0)]",0.0004294620011933148,14,score_known,10
22.147565841674805,22.147565841674805,"[(0, 0)]",0.9580364227294922,14,random,60
0.3985510766506195,0.3985510766506195,"[(0, 0)]",0.00031024013878777623,14,centroid,60
0.5866549611091614,0.5866549611091614,"[(0, 0)]",0.0006721953977830708,14,score_known,60
21.946659088134766,21.946659088134766,"[(0, 0)]",0.9407340288162231,14,random,110
0.40504828095436096,0.40504828095436096,"[(0, 0)]",0.00032043771352618933,14,centroid,110
0.7511355876922607,0.7511355876922607,"[(0, 0)]",0.0011019622907042503,14,score_known,110
22.315975189208984,22.315975189208984,"[(0, 0)]",0.9726616740226746,15,random,10
0.4668184816837311,0.4668184816837311,"[(0, 0)]",0.0004256240208633244,15,centroid,10
0.5837340354919434,0.5837340354919434,"[(0, 0)]",0.000665518396999687,15,score_known,10
22.542156219482422,22.542156219482422,"[(0, 0)]",0.9924781918525696,15,random,60
0.5056979060173035,0.5056979060173035,"[(0, 0)]",0.0004994734190404415,15,centroid,60
1.0254826545715332,1.0254826545715332,"[(0, 0)]",0.002053935080766678,15,score_known,60
21.266271591186523,21.266271591186523,"[(0, 0)]",0.8833092451095581,15,random,110
