round,AGGREGATION_METHOD,GRAD_MODE,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,IID,main_acc,main_loss,clean_acc,triggered_acc,asr,malicious_rate,benign_rate,avg_malicious_rate,avg_benign_rate,baseline_client_id,malicious_baseline
11,martfl,single,0.25,False,0.2,True,NonIID,0.777,0.6296257616519928,0.7928,0.7719,0.1038,0.0,0.041666666666666664,0.16666666666666666,0.1493055555555556,6,False
12,martfl,single,0.25,False,0.2,True,NonIID,0.8083,0.5534688406467437,0.8227,0.808,0.0906,0.0,0.041666666666666664,0.15384615384615385,0.14102564102564108,6,False
13,martfl,single,0.25,False,0.2,True,NonIID,0.7775,0.7123418016910553,0.7943,0.7772,0.0881,0.0,0.041666666666666664,0.14285714285714285,0.13392857142857148,6,False
14,martfl,single,0.25,False,0.2,True,NonIID,0.7856,0.6070936866283416,0.807,0.7719,0.0577,0.0,0.041666666666666664,0.13333333333333333,0.12777777777777785,6,False
15,martfl,single,0.25,False,0.2,True,NonIID,0.8035,0.579553516292572,0.8209,0.803,0.0969,0.0,0.041666666666666664,0.125,0.1223958333333334,6,False
16,martfl,single,0.25,False,0.2,True,NonIID,0.7949,0.6420650159358978,0.8077,0.7878,0.0838,0.0,0.041666666666666664,0.11764705882352941,0.11764705882352947,6,False
17,martfl,single,0.25,False,0.2,True,NonIID,0.804,0.6523945896148682,0.8189,0.818,0.0862,0.0,0.041666666666666664,0.1111111111111111,0.11342592592592597,6,False
18,martfl,single,0.25,False,0.2,True,NonIID,0.8108,0.5986071963071823,0.8244,0.8151,0.0891,0.0,0.041666666666666664,0.10526315789473684,0.10964912280701758,6,False
19,martfl,single,0.25,False,0.2,True,NonIID,0.8169,0.6063029106378556,0.8376,0.8164,0.0644,0.0,0.041666666666666664,0.1,0.10625000000000002,6,False
20,martfl,single,0.25,False,0.2,True,NonIID,0.8304,0.6146038267850876,0.8396,0.8229,0.0974,0.0,0.041666666666666664,0.09523809523809523,0.10317460317460318,6,False
0,martfl,single,0.25,False,0.2,False,NonIID,0.4914,1.4532242719650268,0.5008,0.5183,0.3132,1.0,0.7083333333333334,1.0,0.7083333333333334,,
1,martfl,single,0.25,False,0.2,False,NonIID,0.6371,0.9838677844047546,0.6397,0.6031,0.1887,1.0,0.625,1.0,0.6666666666666667,,
2,martfl,single,0.25,False,0.2,False,NonIID,0.6908,0.8243292709350586,0.7043,0.6574,0.1841,1.0,0.5416666666666666,1.0,0.625,,
3,martfl,single,0.25,False,0.2,False,NonIID,0.6889,0.7949152359008789,0.6926,0.6162,0.2101,1.0,0.75,1.0,0.65625,,
4,martfl,single,0.25,False,0.2,False,NonIID,0.6717,0.9866067403793335,0.6844,0.5585,0.309,0.6666666666666666,0.4583333333333333,0.9333333333333333,0.6166666666666667,,
5,martfl,single,0.25,False,0.2,False,NonIID,0.6917,0.8699290656089783,0.6971,0.5218,0.3567,1.0,0.5833333333333334,0.9444444444444445,0.6111111111111112,,
6,martfl,single,0.25,False,0.2,False,NonIID,0.6763,0.8717653163909912,0.6877,0.4617,0.4796,1.0,0.625,0.9523809523809524,0.6130952380952381,,
7,martfl,single,0.25,False,0.2,False,NonIID,0.7289,0.6781094515800477,0.7297,0.4694,0.4512,1.0,0.7083333333333334,0.9583333333333334,0.625,,
8,martfl,single,0.25,False,0.2,False,NonIID,0.7087,0.7368375861167907,0.7265,0.4104,0.6029,1.0,0.625,0.9629629629629631,0.625,,
9,martfl,single,0.25,False,0.2,False,NonIID,0.75,0.6183627795696258,0.7518,0.3685,0.629,1.0,0.75,0.9666666666666668,0.6375,,
10,martfl,single,0.25,False,0.2,False,NonIID,0.7381,0.7183861669540406,0.7504,0.2837,0.7811,1.0,0.4166666666666667,0.9696969696969698,0.6174242424242424,,
11,martfl,single,0.25,False,0.2,False,NonIID,0.7506,0.6110924680709839,0.7545,0.2951,0.7495,1.0,0.6666666666666666,0.9722222222222223,0.6215277777777778,,
12,martfl,single,0.25,False,0.2,False,NonIID,0.7372,0.7026099390029907,0.7521,0.3141,0.7504,1.0,0.5416666666666666,0.9743589743589745,0.6153846153846154,,
13,martfl,single,0.25,False,0.2,False,NonIID,0.7739,0.5588269669532776,0.7781,0.2377,0.8437,1.0,0.7083333333333334,0.9761904761904763,0.6220238095238095,,
14,martfl,single,0.25,False,0.2,False,NonIID,0.7613,0.6356589308261872,0.7731,0.2312,0.8553,1.0,0.4166666666666667,0.9777777777777779,0.6083333333333333,,
15,martfl,single,0.25,False,0.2,False,NonIID,0.7797,0.5478929596424102,0.7863,0.2151,0.8756,1.0,0.7083333333333334,0.9791666666666667,0.6145833333333334,,
16,martfl,single,0.25,False,0.2,False,NonIID,0.7805,0.5939007232666016,0.7901,0.1971,0.8954,1.0,0.375,0.9803921568627452,0.6004901960784315,,
17,martfl,single,0.25,False,0.2,False,NonIID,0.803,0.5045348997116089,0.8084,0.1937,0.8994,1.0,0.7083333333333334,0.9814814814814815,0.6064814814814815,,
18,martfl,single,0.25,False,0.2,False,NonIID,0.781,0.6005732234477997,0.792,0.1675,0.9272,1.0,0.2916666666666667,0.9824561403508772,0.5899122807017544,,
19,martfl,single,0.25,False,0.2,False,NonIID,0.798,0.5171624318599701,0.8026,0.1684,0.9262,1.0,0.6666666666666666,0.9833333333333334,0.59375,,
20,martfl,single,0.25,False,0.2,False,NonIID,0.7638,0.7383400790214538,0.7748,0.2054,0.8844,0.5,0.25,0.9603174603174603,0.5773809523809523,,
0,martfl,single,0.25,False,0.3,True,NonIID,0.4262,1.5581143995285034,0.4366,0.4411,0.5034,1.0,0.6666666666666666,1.0,0.6666666666666666,14,False
1,martfl,single,0.25,False,0.3,True,NonIID,0.5268,1.1434370921134949,0.5283,0.6025,0.1172,1.0,0.42857142857142855,1.0,0.5476190476190476,adv_8,True
2,martfl,single,0.25,False,0.3,True,NonIID,0.7096,0.7780665760040283,0.724,0.1407,0.9556,1.0,0.0,1.0,0.36507936507936506,adv_2,True
3,martfl,single,0.25,False,0.3,True,NonIID,0.7366,0.6990202538490295,0.7447,0.0992,0.9983,1.0,0.0,1.0,0.2738095238095238,adv_2,True
4,martfl,single,0.25,False,0.3,True,NonIID,0.7601,0.6419474469661712,0.7665,0.1065,0.9909,1.0,0.0,1.0,0.21904761904761902,adv_4,True
5,martfl,single,0.25,False,0.3,True,NonIID,0.7128,0.778791123008728,0.7287,0.1305,0.9666,0.1111111111111111,0.0,0.8518518518518517,0.18253968253968253,adv_4,True
6,martfl,single,0.25,False,0.3,True,NonIID,0.7207,0.742012661075592,0.7263,0.0977,0.9998,0.1111111111111111,0.0,0.7460317460317459,0.15646258503401358,adv_4,True
7,martfl,single,0.25,False,0.3,True,NonIID,0.7538,0.6530947343826294,0.761,0.106,0.9912,0.1111111111111111,0.0,0.6666666666666665,0.1369047619047619,adv_4,True
8,martfl,single,0.25,False,0.3,True,NonIID,0.7855,0.5974727314949035,0.7939,0.1574,0.9362,0.1111111111111111,0.0,0.6049382716049381,0.12169312169312169,adv_4,True
9,martfl,single,0.25,False,0.3,True,NonIID,0.768,0.6319986840248107,0.7805,0.1019,0.9956,0.1111111111111111,0.0,0.5555555555555554,0.10952380952380951,adv_4,True
10,martfl,single,0.25,False,0.3,True,NonIID,0.7807,0.6430751987934112,0.7949,0.1164,0.9804,0.1111111111111111,0.0,0.5151515151515149,0.09956709956709955,adv_4,True
11,martfl,single,0.25,False,0.3,True,NonIID,0.7798,0.639522977399826,0.7946,0.1062,0.9909,0.1111111111111111,0.0,0.48148148148148123,0.09126984126984126,adv_4,True
12,martfl,single,0.25,False,0.3,True,NonIID,0.7791,0.6166456966400147,0.7905,0.1054,0.9917,0.1111111111111111,0.0,0.45299145299145277,0.08424908424908424,adv_4,True
13,martfl,single,0.25,False,0.3,True,NonIID,0.7933,0.597154982471466,0.8014,0.1073,0.9901,0.1111111111111111,0.0,0.4285714285714283,0.07823129251700679,adv_4,True
14,martfl,single,0.25,False,0.3,True,NonIID,0.8029,0.5714050869941711,0.8129,0.1013,0.9961,0.1111111111111111,0.0,0.40740740740740716,0.073015873015873,adv_4,True
15,martfl,single,0.25,False,0.3,True,NonIID,0.7767,0.6829581631660462,0.787,0.1004,0.9971,0.1111111111111111,0.0,0.3888888888888886,0.06845238095238095,adv_4,True
16,martfl,single,0.25,False,0.3,True,NonIID,0.8072,0.6081923707962036,0.8152,0.1099,0.9869,0.1111111111111111,0.0,0.37254901960784287,0.06442577030812324,adv_4,True
17,martfl,single,0.25,False,0.3,True,NonIID,0.7984,0.6338451606750488,0.8098,0.1054,0.992,0.1111111111111111,0.0,0.3580246913580244,0.06084656084656084,adv_4,True
18,martfl,single,0.25,False,0.3,True,NonIID,0.8045,0.6513054446220398,0.8162,0.109,0.9882,0.1111111111111111,0.0,0.3450292397660816,0.05764411027568922,adv_4,True
19,martfl,single,0.25,False,0.3,True,NonIID,0.8084,0.6555805204391479,0.8205,0.1054,0.9918,0.1111111111111111,0.0,0.33333333333333304,0.054761904761904755,adv_4,True
20,martfl,single,0.25,False,0.3,True,NonIID,0.8034,0.7176905029773712,0.8136,0.1166,0.9805,0.1111111111111111,0.0,0.32275132275132246,0.05215419501133786,adv_4,True
0,martfl,single,0.25,False,0.3,False,NonIID,0.4262,1.5581143995285034,0.4366,0.4411,0.5034,1.0,0.6666666666666666,1.0,0.6666666666666666,,
1,martfl,single,0.25,False,0.3,False,NonIID,0.6124,1.0221476510047913,0.62,0.5775,0.1566,1.0,0.6190476190476191,1.0,0.6428571428571428,,
2,martfl,single,0.25,False,0.3,False,NonIID,0.5646,1.7328398677825927,0.5811,0.515,0.2125,0.1111111111111111,0.2857142857142857,0.7037037037037037,0.5238095238095237,,
3,martfl,single,0.25,False,0.3,False,NonIID,0.5524,1.2150826622009276,0.5617,0.537,0.1982,0.5555555555555556,0.47619047619047616,0.6666666666666667,0.5119047619047619,,
4,martfl,single,0.25,False,0.3,False,NonIID,0.6354,0.9572113388061524,0.6439,0.4872,0.4103,1.0,0.5714285714285714,0.7333333333333334,0.5238095238095237,,
5,martfl,single,0.25,False,0.3,False,NonIID,0.6898,0.7785997507095337,0.6949,0.3446,0.6159,1.0,0.6190476190476191,0.7777777777777778,0.5396825396825397,,
6,martfl,single,0.25,False,0.3,False,NonIID,0.6826,0.837007958316803,0.6942,0.3245,0.7246,1.0,0.5714285714285714,0.8095238095238095,0.5442176870748299,,
